w_inj;u1;GOR;x1_eq;x2_eq;x3_eq;estado;status;residual_norm;Pai;Pwh;Pwi;Pwb;wiv;wro;wpc;wpg;wpo;wrg;ro_w;ro_a
1,6;0,4;0,01;2344,793194507551;1040,705651808516;2803,8222360469667;0,0;convergiu;1,778203923472514e-19;9827971,596288554;6524860,4694904145;9804690,975493632;14709690,975493632;1,599999999707581;4,429998877723386;6,074298865962348;1,644299988185457;4,429998877775311;0,04429998877723386;222,89028242018802;109,962703383865
1,8;0,4;0,01;2353,522067039921;1100,5859300593338;2504,0727766947425;0,0;convergiu;2,448352880158254e-19;9864557,812726192;6760008,427564806;9835202,556729242;14740202,556729242;1,799999999655556;4,190740646365893;6,03264805218785;1,841907405767866;4,19074064641831;0,04190740646365893;208,98363091988773;110,37205736160637
2,0;0,4;0,01;2362,3157800172353;1156,122871853429;2233,8055316587793;0,0;convergiu;3,1987864028842552e-19;9901415,80155412;6973305,5060088085;9865309,651986815;14770309,651986815;1,9999999996051467;3,9404400167609834;5,979844416186692;2,039404399371266;3,9404400168136617;0,039404400167609835;196,5344305681509;110,78445213229759
0,2;0,5;0,01;2290,4865300332813;329,079258599901;7382,830689644331;0,0;convergiu;2,8618381008466827e-18;9600350,517724996;3020819,847749368;9599978,13340047;14504978,13340047;0,20000000119603265;5,784762586496374;6,042610214778858;0,25784762825713203;5,784762586520942;0,05784762586496374;447,10555795240697;107,41590836102914
0,4;0,5;0,01;2249,108470798839;439,77621472284375;6331,927133855797;0,0;convergiu;6,021106558555105e-19;9426918,42494248;3648349,0425143535;9425401,483838003;14330401,483838003;0,4000000006621456;6,727916445122589;7,195195610671178;0,46727916551676685;6,7279164451533475;0,06727916445122589;392,5961563702834;105,47542027668335
0,6000000000000001;0,5;0,01;2231,740347607315;529,8340443920498;5601,610079249602;0,0;convergiu;3,1701910506790084e-19;9354121,63339303;4119845,2766653574;9350681,953933336;14255681,953933336;0,6000000004275563;7,09337013796027;7,7643038401763596;0,6709337021708658;7,093370138004227;0,0709337013796027;355,4764986044659;104,66091527755697
0,8;0,5;0,01;2225,5428098981397;607,7416784475569;5036,386641933804;0,0;convergiu;4,8461298193449624e-20;9328145,259563826;4506913,762328628;9322013,24527439;14227013,24527439;0,800000000178777;7,228686230529811;8,100973093184008;0,8722868626021275;7,228686230580444;0,07228686230529811;327,2238860120014;104,37027216138762
1,0;0,5;0,01;2225,633726601284;677,23910673523;4573,961245662111;0,0;convergiu;1,0493039481989501e-20;9328526,328042796;4839059,330708848;9318945,447111776;14223945,447111776;1,000000000060562;7,243016483154233;8,315446648164752;1,0724301649499062;7,24301648321326;0,07243016483154233;304,44350092716286;104,37453584079606
1,2;0,5;0,01;2229,6251100956433;740,4041782862138;4182,325958963836;0,0;convergiu;3,8075046197221186e-21;9345255,822014522;5131821,3234544555;9331484,051348042;14236484,051348042;1,2000000000014928;7,184266011839509;8,456108672021411;1,271842660118511;7,1842660119011805;0,07184266011839509;285,4001174074146;104,56171794295737
1,4;0,5;0,01;2236,176163002999;798,5453120238145;3842,633632285875;0,0;convergiu;8,001118913394913e-21;9372713,920259641;5394557,1894444665;9354023,92486666;14259023,92486666;1,3999999999573238;7,0774276880102285;8,548201964866902;1,4707742767912269;7,077427688073833;0,07077427688010228;269,07691030870814;104,86893970110262
