Pai;Pwh;Pwi;Pwb;wiv;wro;wpc;wpg;wpo;wrg;ro_w;ro_a;x1;x2;x3;estado;w_inj;u1;GOR
10081049,228617491;7804163,727894374;10045586,451891894;14950586,451891894;1,9999999942775633;1,827664042461847;3,845940598008516;2,018276650787309;1,8276639472197436;0,018276640424618473;152,3223054024818;112,79432538690683;2405,1733761302853;1378,7753456027463;1248,5592544959484;0;2,0;0,30000000000000004;0,01
9794750,280581875;3427080,4348977315;9794385,287127482;14699385,287127482;0,19999999272246807;4,507943499000655;4,753022909296032;0,24507942658222906;4,507943482713166;0,04507943499000655;432,70845071218145;109,59099843449127;2336,867132225175;384,8435445289354;7078,737585675598;0;0,2;0,4;0,01
9718407,864667295;4217055,892029536;9716936,42204387;14621936,42204387;0,3999999939008434;5,055402839520749;5,5059569146824625;0,4505540104752745;5,055402904206333;0,05055402839520748;373,760144751229;108,73682233573288;2318,6530810819695;527,5442836889207;5919,2657081115385;0;0,4;0,4;0,01
9700861,212747976;4791752,350097489;9697544,478416815;14602544,478416815;0,5999999946494396;5,183434504170315;5,835268928508429;0,6518343216284164;5,183434606878999;0,051834345041703145;333,38716468361037;108,54049725873392;2314,466737073573;642,35795175202;5108,077814615916;0;0,6000000000000001;0,4;0,01
9708944,198854385;5251701,068297659;9703052,691172507;14608052,691172507;0,7999999953182205;5,14739138561841;5,998865399370512;0,8514738865405245;5,147391512828839;0,0514739138561841;302,50435765374425;108,63093575817071;2316,3952052857485;740,6034521038036;4477,149545031201;0;0,8;0,4;0,01
9730382,100182042;5637600,971865736;9721196,900839426;14626196,900839426;0,999999995916024;5,026836928253672;6,077105411609864;1,0502683390417615;5,026837072566832;0,05026836928253672;277,5124654416371;108,87079904651767;2321,5099377252072;827,252104898487;3959,4276954561315;0;1,0;0,4;0,01
9759301,374804528;5970689,137966993;9746113,881733667;14651113,881733667;1,1999999965345833;4,856408301904197;6,104972509486871;1,2485640506201996;4,856408458865292;0,04856408301904197;256,56980929437145;109,19436953980149;2328,4096034050012;905,0749523086979;3520,3749876634083;0;1,2;0,4;0,01
9792475,798103007;6263675,174614456;9774586,963562857;14679586,963562857;1,399999997165642;4,654022052284551;6,1005624081646355;1,4465401859411275;4,654022222222024;0,04654022052284551;238,59407332303093;109,56554982185281;2336,3244779261445;975,8254972055972;3139,5695696148045;0;1,4000000000000001;0,4;0,01
9827971,613493497;6524860,430874708;9804690,992783178;14709690,992783178;1,5999999982011797;4,4299987458076275;6,074298891987741;1,6442999486773928;4,429998943308768;0,04429998745807628;222,8902862323119;109,96270357641075;2344,793198612369;1040,7056400832703;2803,8223133028237;0;1,6;0,4;0,01
9864557,837336335;6760008,382185342;9835202,581366576;14740202,581366576;1,8000000010675703;4,190740447655936;6,0326480922830745;1,84190735163126;4,190740740650141;0,04190740447655937;208,98363569019602;110,37205763700716;2353,522072911498;1100,5859154548668;2504,0728733709916;0;1,8;0,4;0,01
9901415,805588938;6973305,5136625655;9865309,655776098;14770309,655776098;2,000000006813392;3,940439984257563;5,979844416966111;2,039404405454007;3,9404400115103404;0,039404399842575634;196,53443031692373;110,7844521774864;2362,3157809798768;1156,1228736061155;2233,8055253762604;0;2,0;0,4;0,01
9600350,717612328;3020819,5810267925;9599978,333271805;14504978,333271805;0,20000000757407893;5,784761418660753;6,042609639810115;0,2578475470959035;5,784762092713427;0,05784761418660753;447,1055896870548;107,41591059756117;2290,4865777231275;329,0792096684621;7382,831285504428;0;0,2;0,5;0,01
