Tempo;CasADi_Pwh_Bar;Linear_Pwh_Bar
0;2047,5062996901738;156,31252153249497
1;2049,306299380211;151,44299286179688
2;2051,1062990701116;148,24358042219862
3;2052,9062987598763;146,14397535064768
4;2054,7062984495055;144,76854182407226
5;2056,506298138999;143,86986622891405
6;2058,3062978283565;143,28498904523263
7;2060,106297517578;142,9065767951087
8;2061,906297206663;142,6639343265396
9;2063,7062968956125;142,51049847523706
10;2065,506296584427;142,41560071293853
11;2067,3062962731055;142,35904158144245
12;2069,106295961648;142,32751712100594
13;2070,9062956500557;142,31226512253218
14;2072,7062953383283;142,30751482177098
15;2074,5062950264646;142,30946578394318
16;2076,306294714466;142,31561534183837
17;2078,1062944023324;142,32431561010827
18;2079,9062940900644;142,33448171087576
19;2081,7062937776604;142,3453995953061
20;2083,5062934651214;142,356599464473
21;2085,306293152448;142,36777239747283
22;2087,106292839638;142,37871543817317
23;2088,906292526694;142,38929542635816
24;2090,7062922136156;142,39942517494998
25;2092,5062919004017;142,40904777902387
26;2094,3062915870537;142,41812628086316
27;2096,1062912735706;142,4266368627925
28;2097,9062909599534;142,43456436359614
29;2099,7062906462006;142,44189932537626
30;2101,506290332314;142,44863604844116
31;2103,306290018293;142,45477131013678
32;2105,106289704138;142,46030352098742
33;2106,906289389847;142,46523216887186
34;2108,7062890754232;142,46955745291498
35;2110,506288760864;142,4732800423369
36;2112,3062884461715;142,4764009176052
37;2114,1062881313455;142,47892126579694
38;2115,9062878163854;142,48084241166595
39;2117,7062875012903;142,48216577222757
40;2119,506287186062;142,48289282683348
41;2121,3062868706998;142,48302509744875
42;2123,106286555203;142,48256413564914
43;2124,9062862395735;142,48151151404412
44;2126,7062859238104;142,47986882061562
45;2128,506285607913;142,47763765497675
46;2130,306285291882;142,47481962589507
47;2132,1062849757172;142,47141634964922
48;2133,90628465942;142,46742944893418
49;2135,706284342989;142,4628605521279
50;2137,506284026424;142,45771129279572
51;2139,306283709727;142,45198330935213
52;2141,1062833928954;142,4456782448255
53;2142,9062830759312;142,43879774669077
54;2144,7062827588343;142,43134346674722
55;2146,5062824416036;142,42331706102564
56;2148,3062821242397;142,41472018971498
57;2150,1062818067435;142,40555451710193
58;2151,906281489114;142,39582171151872
59;2153,7062811713517;142,38552344529683
60;2155,506280853457;142,37466139472417
61;2157,3062805354293;142,36323724000482
62;2159,1062802172687;142,3512526652203
63;2160,9062798989753;142,33870935829208
64;2162,7062795805496;142,32560901094448
65;2164,5062792619915;142,31195331866863
66;2166,306278943301;142,29774398068616
67;2168,1062786244775;142,2829826999135
68;2169,9062783055224;142,2676711829263
69;2171,706277986435;142,25181113992377
70;2173,5062776672144;142,2354042846935
71;2175,3062773478628;142,21845233457586
72;2177,106277028379;142,200957010429
73;2178,9062767087617;142,18292003659346
74;2180,7062763890126;142,16434314085708
75;2182,5062760691326;142,14522805441996
76;2184,30627574912;142,1255765118593
77;2186,106275428975;142,10539025109443
78;2187,9062751086994;142,0846710133519
79;2189,7062747882915;142,06342054313055
80;2191,5062744677516;142,04164058816653
