Pai;Pwh;Pwi;Pwb;wiv;wro;wpc;wpg;wpo;wrg
7184388.731241064;3007163.0090628313;7173246.955751298;12078246.955751298;0.9463741536745446;14.053843096861877;10.44414163788389;0.9082875807113777;9.53585405717251;0.1405384309686188
7185874.321939733;3008770.8530312264;7178763.408331882;12083763.408331882;0.7561244256072276;14.04056956098166;10.457376965826096;0.9087518256888826;9.548625140137215;0.1404056956098166
7188013.791323705;3009268.2973895394;7183017.766203584;12088017.766203584;0.6338806802445769;14.030324265840676;10.464665850808942;0.9083982930576919;9.55626755775125;0.14030324265840677
7190540.371094654;3009111.5666884575;7186526.611309898;12091526.611309897;0.5682601621498242;14.021868672735847;10.468447189383708;0.9075645368277659;9.560882652555943;0.14021868672735846
7193260.292197213;3008631.1755981734;7189663.204975584;12094663.204975583;0.5380580458528126;14.01430581026583;10.470485077932187;0.9064949062538449;9.563990171678341;0.1401430581026583
7196065.115867476;3008011.866415498;7192635.907740815;12097635.907740815;0.5254546288521917;14.007134347778667;10.471765455269779;0.905325860560277;9.5664395947095;0.1400713434777867
7198904.481164116;3007339.38436316;7195541.362517131;12100541.36251713;0.5204692283614929;14.000121567109408;10.472746155342477;0.9041206724846518;9.568625482857826;0.14000121567109408
7201757.2940997975;3006649.61833896;7198420.001881445;12103420.001881445;0.51856967480084;13.99317004373256;10.473618969072977;0.9029057919883863;9.570713177084592;0.1399317004373256
7204615.126909363;3005956.8810774353;7201287.94179417;12106287.94179417;0.5178865508263343;13.986240922231895;10.474460484802732;0.9016917473216676;9.572768737481065;0.13986240922231896
7207474.672028979;3005266.7617161013;7204151.468296916;12109151.468296915;0.5176793049232254;13.979319037175184;10.475300680547178;0.9004826348192982;9.574818045727879;0.13979319037175184
7210334.633738047;3004581.420799632;7207013.004368987;12112013.004368987;0.5176593398241894;13.972398537998279;10.47615120191355;0.899280025084681;9.576871176828869;0.1397239853799828
7213194.497769224;3003901.686780285;7209873.472181004;12114873.472181004;0.5177149307181131;13.965477194874657;10.477016566448567;0.8980845082984529;9.578932058150114;0.13965477194874656
7216054.051971338;3003227.8730329555;7212733.213616361;12117733.21361636;0.5178029434012549;13.958554178693939;10.477898533187146;0.8968962959324306;9.581002237254717;0.13958554178693938
7218913.200770341;3002560.094205549;7215592.346683215;12120592.346683215;0.5179067420837312;13.951629201072347;10.478797795783311;0.895715453542888;9.583082342240424;0.13951629201072346
7221771.89355011;3001898.3883730443;7218450.903132503;12123450.903132502;0.518019910347819;13.944702182127907;10.479714636762585;0.894541990586266;9.58517264617632;0.13944702182127908
7224630.09704365;3001242.764142716;7221308.88152465;12126308.88152465;0.5181399693478176;13.937773122308082;10.480649179998508;0.8933758950253093;9.587273284973199;0.1393777312230808
7227487.784698129;3000593.2188047566;7224166.267676739;12129166.267676739;0.5182659564998313;13.930842052979154;10.481601488067627;0.8922171466522022;9.589384341415425;0.13930842052979153
7230344.932580438;2999949.745322075;7227023.0425366275;12132023.042536628;0.5183974928377337;13.923909017388901;10.482571599768235;0.8910657222146483;9.591505877553587;0.13923909017388902
7233201.517801439;2999312.3350206534;7229879.18521378;12134879.18521378;0.5185344239589916;13.916974063335335;10.483559544572127;0.8899215973868017;9.593637947185325;0.13916974063335336
7236057.5179097;2998680.9786244254;7232734.674145266;12137734.674145266;0.5186766818592782;13.91003724034483;10.484565348188136;0.888784747526315;9.595780600661822;0.1391003724034483
7238912.910658222;2998055.666653037;7235589.487544102;12140589.4875441;0.5188242317840798;13.90309859858653;10.485589034702564;0.8876551479645914;9.597933886737971;0.1390309859858653
7241767.67391462;2997436.389574473;7238443.603571479;12143443.603571478;0.5189770517926233;13.896158188455113;10.48663062740165;0.8865327741175937;9.600097853284057;0.13896158188455113
7244621.785626468;2996823.1378634074;7241297.000402827;12146297.000402827;0.5191351249035437;13.889216060410641;10.487690149086813;0.8854176015276961;9.602272547559117;0.13889216060410642
7247475.223807829;2996215.9020233424;7244149.656253047;12149149.656253047;0.5192984360763355;13.882272264917367;10.48876762219484;0.8843096058790747;9.604458016315766;0.13882272264917367
7250327.966533932;2995614.672594793;7247001.549386091;12152001.549386092;0.5194669710508046;13.875326852420455;10.489863068843;0.8832087630029151;9.606654305840086;0.13875326852420455
7253179.99193898;2995019.440158148;7249852.658118481;12154852.65811848;0.5196407159024682;13.868379873337428;10.490976510845343;0.8821150488787435;9.6088614619666;0.13868379873337427
7256031.278215164;2994430.195334462;7252702.960820558;12157702.960820558;0.5198196568698843;13.86143137805509;10.492107969717908;0.881028439634257;9.611079530083652;0.13861431378055092
7258881.803612136;2993846.928785465;7255552.435916817;12160552.435916817;0.5200037802888173;13.854481416928717;10.493257466679667;0.8799489115445824;9.613308555135085;0.13854481416928718
7261731.5464366665;2993269.631213275;7258401.06188591;12163401.06188591;0.5201930725669502;13.847530040282003;10.494425022651846;0.8788764410313397;9.615548581620505;0.13847530040282002
7264580.485052365;2992698.293359991;7261248.817260531;12166248.81726053;0.5203875201725422;13.840577298407323;10.495610658256641;0.8778110046616143;9.617799653595027;0.13840577298407325
7267428.597879437;2992132.9060072443;7264095.680627239;12169095.680627238;0.5205871096305601;13.833623241566134;10.496814393815647;0.8767525791469084;9.62006181466874;0.13833623241566134
7270275.863394457;2991573.459975735;7266941.630626282;12171941.630626282;0.5207918275205428;13.826667919989376;10.498036249348262;0.8757011413420914;9.62233510800617;0.13826667919989377
7273122.2601301335;2991019.9461247637;7269786.645951392;12174786.645951392;0.5210016604753943;13.819711383877953;10.499276244570018;0.8746566682443521;9.624619576325665;0.13819711383877953
7275967.766675094;2990472.3553517614;7272630.705349613;12177630.705349613;0.5212165951798762;13.812753683403107;10.500534398890899;0.8736191369921505;9.626915261898748;0.1381275368340311
7278812.361673672;2989930.678591818;7275473.787621092;12180473.787621092;0.5214366183713371;13.805794868706915;10.501810731413684;0.8725885248641855;9.629222206549498;0.13805794868706917
7281656.023825674;2989394.9068172206;7278315.871618912;12183315.871618912;0.5216617168365039;13.798834989902646;10.503105260932307;0.8715648092783678;9.631540451653938;0.13798834989902647
7284498.7318861885;2988865.0310369744;7281156.936248887;12186156.936248887;0.5218918774132779;13.791874097075247;10.504418005930127;0.8705479677907898;9.633870038139337;0.1379187409707525
7287340.464665366;2988341.042296349;7283996.960469396;12188996.960469395;0.5221270869889543;13.784912240281724;10.505748984578338;0.8695379780947199;9.636211006483618;0.13784912240281724
7290181.201028219;2987822.9316764087;7286835.9232912045;12191835.923291204;0.5223673324988647;13.777949469551503;10.50709821473429;0.8685348180195896;9.6385633967147;0.13777949469551504
7293020.919894416;2987310.690293551;7289673.803777274;12194673.803777274;0.5226126009273355;13.770985834886922;10.508465713939843;0.8675384655299995;9.640927248409845;0.13770985834886923
7295859.600238076;2986804.3092990424;7292510.581042598;12197510.581042599;0.5228628793055785;13.764021386263547;10.509851499419717;0.8665488987247181;9.643302600695;0.13764021386263547
7298697.2210875815;2986303.779878563;7295346.234254029;12200346.234254029;0.5231181547118247;13.757056173630593;10.511255588079866;0.865566095835705;9.645689492244161;0.13757056173630594
7301533.761525379;2985809.093251746;7298180.742630114;12203180.742630113;0.5233784142701364;13.750090246911267;10.51267799650587;0.8645900352271271;9.648087961278742;0.13750090246911267
7304369.200687788;2985320.2406717245;7301014.085440921;12206014.08544092;0.5236436451505175;13.743123656003162;10.514118740961287;0.8636206953943909;9.650498045566897;0.13743123656003162
7307203.517764808;2984837.213424671;7303846.242007881;12208846.242007881;0.5239138345668296;13.736156450778624;10.515577837386044;0.8626580549631753;9.652919782422869;0.13736156450778625
7310036.691999933;2984360.0028293384;7306677.191703619;12211677.19170362;0.5241889697779696;13.729188681085104;10.51705530139479;0.8617020926884696;9.65535320870632;0.13729188681085103
